image/width,image/height,image/object/part/NOSE_TIP/center/x,image/object/part/NOSE_TIP/center/y,image/object/part/NOSE_TIP/score,image/object/part/LEFT_SHOULDER/center/x,image/object/part/LEFT_SHOULDER/center/y,image/object/part/LEFT_SHOULDER/score,image/object/part/RIGHT_SHOULDER/center/x,image/object/part/RIGHT_SHOULDER/center/y,image/object/part/RIGHT_SHOULDER/score,image/object/part/LEFT_ELBOW/center/x,image/object/part/LEFT_ELBOW/center/y,image/object/part/LEFT_ELBOW/score,image/object/part/RIGHT_ELBOW/center/x,image/object/part/RIGHT_ELBOW/center/y,image/object/part/RIGHT_ELBOW/score,image/object/part/LEFT_WRIST/center/x,image/object/part/LEFT_WRIST/center/y,image/object/part/LEFT_WRIST/score,image/object/part/RIGHT_WRIST/center/x,image/object/part/RIGHT_WRIST/center/y,image/object/part/RIGHT_WRIST/score,image/object/part/LEFT_HIP/center/x,image/object/part/LEFT_HIP/center/y,image/object/part/LEFT_HIP/score,image/object/part/RIGHT_HIP/center/x,image/object/part/RIGHT_HIP/center/y,image/object/part/RIGHT_HIP/score,image/object/part/LEFT_KNEE/center/x,image/object/part/LEFT_KNEE/center/y,image/object/part/LEFT_KNEE/score,image/object/part/RIGHT_KNEE/center/x,image/object/part/RIGHT_KNEE/center/y,image/object/part/RIGHT_KNEE/score,image/object/part/LEFT_ANKLE/center/x,image/object/part/LEFT_ANKLE/center/y,image/object/part/LEFT_ANKLE/score,image/object/part/RIGHT_ANKLE/center/x,image/object/part/RIGHT_ANKLE/center/y,image/object/part/RIGHT_ANKLE/score
57.03,83.64,0.02665263896194953,0.07687709230033485,0.68,0.16429949149570408,0.14478718316594946,1.0,0.3384183762931792,0.061095169775227325,0.91,0.30510257759074133,0.3287900526064084,0.8,0.0,0.0,0.0,0.3624408206207262,0.4582735533237687,0.55,0.0,0.0,0.0,0.5151674557250568,0.3489956958393113,0.96,0.6706996317727512,0.30726924916308007,0.91,0.48027354024197766,0.6541128646580584,0.91,0.7548658600736456,0.6188426590148257,0.91,0.3768192179554622,0.9246771879483501,0.93,0.896019638786604,0.8873744619799139,0.94
55.86,82.27,0.027926960257787365,0.06600218791783162,0.77,0.1804511278195496,0.14063449617114407,1.0,0.3483709273182964,0.0601677403670842,0.91,0.3152524167561764,0.3329281633645316,0.82,0.0,0.0,0.0,0.3564267812388118,0.470523884769661,0.59,0.0,0.0,0.0,0.5216612960973871,0.3580892184271303,0.97,0.6727533118510569,0.32636440986994075,0.94,0.4783387039026142,0.6530934727118028,0.92,0.7461510920157538,0.6269600097240794,0.96,0.37218045112781994,0.9326607511851224,0.92,0.8911564625850346,0.9051902273003525,0.95
54.53,82.25,0.026224096827434564,0.06577507598784191,0.44,0.18521914542453632,0.1331306990881461,1.0,0.3555840821566108,0.0576291793313071,0.97,0.31670640014670787,0.33617021276595754,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5114615807812211,0.36352583586626147,0.99,0.690262240968274,0.329726443768997,0.97,0.4368237667339078,0.6414589665653494,0.95,0.7427104346231432,0.6285714285714288,0.97,0.3401797175866498,0.9310638297872342,0.95,0.8914359068402716,0.9140425531914894,0.96
51.8,83.21,0.026640926640926554,0.051676481192164544,0.47,0.19189189189189185,0.13868525417618066,0.96,0.37972972972972896,0.06826102631895213,0.9,0.31196911196911137,0.3398629972359092,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5144787644787641,0.38264631654849185,0.97,0.6899613899613891,0.34382886672274987,0.98,0.4480694980694977,0.6546088210551617,0.92,0.7337837837837836,0.6361014301165726,1.0,0.30830115830115773,0.9312582622280977,0.94,0.8924710424710418,0.9117894483836079,0.95
50.45,84.74,0.027948463825569238,0.04012272834552757,0.55,0.14489593657086228,0.13382109983478882,0.94,0.3809712586719518,0.07080481472740147,0.92,0.2509415262636267,0.3239320273778616,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47789890981169497,0.3812839273070569,0.97,0.6743310208126855,0.3418692471088034,0.98,0.394648166501486,0.6564786405475572,0.94,0.7381565906838455,0.628038706632051,0.98,0.25748265609514387,0.9274250649044136,0.92,0.8767096134786921,0.9028793957989143,1.0
48.74,86.58,0.029134181370536704,0.04458304458304474,0.59,0.1711120229790721,0.14784014784014798,0.97,0.4214197784160846,0.07796257796257797,0.96,0.26651620845301616,0.3379533379533379,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48481739844070565,0.39708939708939706,0.96,0.6994255231842423,0.36544236544236564,0.98,0.3791546983996709,0.6567336567336569,0.95,0.7591300779647107,0.6404481404481404,1.0,0.2418957734919976,0.9301224301224301,0.92,0.8838736151005331,0.9004389004389005,0.95
45.93,86.72,0.030045721750489775,0.04843173431734337,0.51,0.13716525146962794,0.14748616236162385,0.97,0.45329849771391234,0.07357011070110696,0.97,0.1752667102111912,0.3479012915129153,0.9,0.6627476594818201,0.21309963099631019,0.82,0.19464402351404306,0.5006918819188194,0.69,0.752231656869149,0.3372924354243543,0.7,0.4502503810145876,0.41166974169741716,1.0,0.7023731765730458,0.376499077490775,0.98,0.35488787284998935,0.6760839483394834,0.94,0.7535379925974311,0.6598247232472325,0.97,0.19094273895057656,0.9377306273062733,0.94,0.8772044415414754,0.9275830258302583,0.93
48.39,88.1,0.13060549700351298,0.05096481271282644,0.65,0.22194668319900823,0.1283768444948922,1.0,0.5494936970448446,0.08592508513053342,0.98,0.1396982847695815,0.31940976163450613,0.88,0.7542880760487704,0.2123723041997731,0.88,0.08369497830130215,0.48263337116912614,0.83,0.8900599297375489,0.3390465380249717,0.77,0.49059723083281687,0.40953461975028393,0.98,0.7257697871461046,0.3871736662883089,0.98,0.3690845215953712,0.6698070374574346,0.94,0.7782599710684031,0.6625425652667424,0.97,0.2264930770820425,0.9345062429057891,0.94,0.879313907832197,0.9281498297389332,0.96
56.58,89.35,0.25857193354542335,0.049356463346390565,0.66,0.3191940615058325,0.13172915500839408,1.0,0.6161187698833512,0.08248461108002245,0.98,0.19794980558501318,0.30039171796306663,0.98,0.8126546482856136,0.18489087856743158,0.93,0.07352421350300505,0.44633463905987686,0.97,0.9314245316366215,0.3095691102406267,0.87,0.541357370095441,0.416899832120873,0.99,0.7488511841640156,0.3998880805819809,0.98,0.4169317780134329,0.6700615556799105,0.95,0.7820784729586426,0.6637940682708451,0.97,0.3160127253446457,0.9302742025741467,0.94,0.8748674443266172,0.9226636821488529,0.96
68.31,90.02,0.32791684965598056,0.03954676738502558,0.76,0.37607963694920293,0.1321928460342147,1.0,0.6309471526862834,0.08364807820484338,0.98,0.23334797247840805,0.28404798933570313,0.96,0.8012004098960623,0.16840702066207505,0.9,0.07744107744107774,0.3763608087091757,0.95,0.9322207583077149,0.2778271495223283,0.93,0.5385741472697997,0.42501666296378576,0.98,0.7129263651002787,0.41190846478560306,0.98,0.4380032206119165,0.6636303043768053,0.98,0.7401551749377836,0.6664074650077761,0.97,0.3573415312545751,0.930904243501444,0.97,0.8219879959010399,0.9222395023328148,0.97
76.13,90.63,0.3670038092736109,0.03486704181838271,0.78,0.4022067516090898,0.13350987531722414,1.0,0.6323394194141606,0.08749862076575093,0.97,0.23985288322606133,0.2478208098863512,0.95,0.8037567319059503,0.1471918790687411,0.95,0.07066859319584914,0.2980249365552248,0.94,0.9299881781163801,0.24760013240648823,0.95,0.5360567450413767,0.4318658280922434,0.99,0.6939445685012484,0.41575637206223115,0.98,0.43662156836989374,0.667990731545846,0.98,0.718245107053724,0.6737283460222885,0.97,0.3783002758439513,0.9282798190444668,0.98,0.7890450545120189,0.9278384640847402,0.97
81.96,90.95,0.39250854075158637,0.037273227047828636,0.85,0.4225231820400195,0.12622319956019812,1.0,0.6545876037091268,0.09081913139087432,0.99,0.2592728160078087,0.18603628367234762,0.99,0.809053196681308,0.14799340296866417,0.9,0.07064421669106907,0.19241341396371633,0.98,0.9371644704734018,0.20285871357888968,0.85,0.5438018545632015,0.4358438702583839,0.99,0.6909468033186921,0.42133040131940647,0.98,0.4297218155197661,0.6560747663551404,0.98,0.6999755978526111,0.6792743265530511,0.97,0.3826256710590534,0.9247938427707533,0.98,0.7711078574914598,0.9282023089609677,0.97
84.92,91.67,0.3976683937823839,0.03763499509108778,0.78,0.4213377296278854,0.1240318533871496,0.98,0.6469618464437117,0.09708737864077675,1.0,0.24693829486575633,0.15217628449874568,0.93,0.8093499764484222,0.13821315588524072,0.96,0.07006594441827656,0.10232355187084101,0.95,0.9372350447479985,0.18119341114868565,0.78,0.5267310409797459,0.43612959528744427,0.96,0.6699246349505422,0.42914803098069165,0.98,0.4074422986340087,0.6409948729137124,0.97,0.6743994347621295,0.678520781062507,0.97,0.36681582666038665,0.9181847932802445,0.97,0.7488224211022142,0.92745718337515,0.97
84.96,99.59,0.3521657250470812,0.11045285671252134,0.8,0.3752354048964218,0.1953007330053217,0.99,0.5962806026365345,0.18274927201526245,1.0,0.22069209039548024,0.15041670850486985,0.9,0.7800141242937851,0.19540114469324207,0.98,0.06026365348399253,0.05141078421528242,0.89,0.9390301318267418,0.19831308364293604,0.82,0.46162900188323885,0.4971382668942664,0.97,0.5982815442561203,0.4869966864142986,0.98,0.31344161958568734,0.675670248016869,0.97,0.5935734463276837,0.7141279244904104,0.97,0.2982580037664781,0.9279044080730996,0.97,0.6794962335216576,0.9332262275328848,0.97
84.04,103.8,0.3569728700618753,0.14441233140655116,0.72,0.36720609233698254,0.22321772639691703,0.97,0.6072108519752495,0.2182080924855492,1.0,0.2252498810090434,0.164354527938343,0.88,0.7834364588291286,0.23410404624277442,0.97,0.07460732984293171,0.06040462427745647,0.89,0.937529747739172,0.2255298651252408,0.84,0.4504997620180868,0.5212909441233139,0.95,0.5803188957639217,0.5155105973025047,0.97,0.2927177534507373,0.6921965317919074,0.96,0.5749643027129937,0.7267822736030829,0.96,0.28403141361256545,0.9287090558766861,0.97,0.6713469776297003,0.9354527938342967,0.97
79.43,106.62,0.37227747702379443,0.1646032639279686,0.63,0.3744177262998868,0.24198086662915036,0.99,0.6209240840992067,0.24282498593134483,1.0,0.2200679843887702,0.18111048583755393,0.87,0.7945360694951531,0.25736259613580936,0.98,0.07793025305300261,0.0580566497842806,0.9,0.9373032859121236,0.22800600262614895,0.9,0.440891350874984,0.5302007128118552,0.97,0.5827772881782703,0.5322641155505533,0.97,0.2747072894372402,0.6963046332770587,0.97,0.5786226866423263,0.7306321515663102,0.96,0.2776029208107769,0.927968486212718,0.97,0.682235931008435,0.9365972613018196,0.96
75.27,108.44,0.36349143084894403,0.17659535226853565,0.51,0.35459014215490897,0.2535042419771303,0.98,0.6059519064700414,0.25912947251936574,1.0,0.19968114786767677,0.179269642198451,0.91,0.7888933173907267,0.2770195499815568,0.98,0.07971303308090873,0.05533013648100332,0.92,0.9338381825428461,0.23690520103282947,0.9,0.4127806563039723,0.5431575064551827,0.97,0.5641025641025647,0.5414053854666175,0.98,0.2271821442805902,0.7066580597565476,0.97,0.549887073203136,0.7373662855035044,0.95,0.2437890261724462,0.9323127997049062,0.97,0.6689252026039594,0.9382146809295464,0.95
69.87,108.78,0.3575211106340341,0.1775142489428204,0.45,0.34163446400458,0.2643868358154072,0.99,0.5975382853871475,0.2730281301709872,1.0,0.18734793187347895,0.1768707482993198,0.92,0.7898955202518962,0.2938959367530796,0.98,0.07084585659081134,0.045596617025188524,0.91,0.930012881064834,0.2486670343813202,0.93,0.38500071561471266,0.5474351902923332,0.97,0.5405753542292827,0.5561684133112704,0.98,0.1763274652926863,0.7124471410185695,0.97,0.5201087734363815,0.7427835999264571,0.94,0.21296693860025753,0.936109578966722,0.97,0.6652354372405891,0.9389593675307962,0.95
68.74,110.41,0.3558335757928423,0.19445702382030614,0.45,0.3433226651149253,0.2715333756000364,0.98,0.5877218504509744,0.30142197264740517,0.97,0.1902822228687807,0.17643329408568081,0.95,0.7976432935699737,0.317815415270356,0.96,0.07928425952865856,0.04936147088126091,0.95,0.9272621472214142,0.2598496512997011,0.94,0.35496072155949926,0.5650756272076806,0.98,0.5253127727669482,0.5677022008876008,0.97,0.15013092813500137,0.7281949098813514,0.98,0.49854524294442804,0.7556380762612083,0.94,0.1959557753855102,0.9355130875826467,1.0,0.6539132964794878,0.9402228059052623,0.94
65.1,110.92,0.35729646697388623,0.2018571943743237,0.44,0.3314900153609829,0.27677605481428047,0.97,0.5938556067588321,0.31635412910205557,0.97,0.2035330261136713,0.1759826902271906,0.95,0.8208909370199693,0.3345654525784348,0.96,0.10568356374807981,0.04841327082582045,0.95,0.9313364055299539,0.2673999278759466,0.88,0.332872503840246,0.571853588171655,0.98,0.5076804915514596,0.5780742877749729,0.97,0.10645161290322593,0.7354850342589252,0.97,0.47910906298003075,0.7616300036062026,0.94,0.18310291858678981,0.938063469166967,1.0,0.6566820276497697,0.9435629282365668,0.93
65.04,110.6,0.0,0.0,0.0,0.34378843788437813,0.2819168173598554,0.98,0.6048585485854854,0.3288426763110308,0.96,0.22739852398523927,0.17784810126582293,0.93,0.8182656826568261,0.35515370705244126,0.97,0.14483394833948277,0.04810126582278501,0.92,0.9295817958179577,0.2810126582278482,0.82,0.3353321033210332,0.5788426763110308,0.98,0.5047662976629763,0.5870705244122967,0.97,0.10393603936039346,0.7431283905967453,0.99,0.4701722017220169,0.7668173598553346,0.94,0.19418819188191874,0.943851717902351,1.0,0.6625153751537511,0.9435804701627488,0.94
64.43,111.95,0.0,0.0,0.0,0.3875523824305443,0.29075480125055814,0.97,0.6560608412230324,0.3484591335417596,0.97,0.29303119664752436,0.17936578829834732,0.84,0.8685395002328103,0.38535060294774437,0.96,0.2641626571472913,0.04296560964716368,0.79,0.9295359304671734,0.31156766413577486,0.8,0.3607015365512961,0.5773112996873604,0.97,0.5294117647058825,0.5872264403751672,0.96,0.10507527549278257,0.7330951317552478,0.96,0.5000776036008066,0.7654309959803484,1.0,0.23855346888095613,0.9364001786511834,0.96,0.7065031817476327,0.9175524787851719,0.97
64.02,113.44,0.0,0.0,0.0,0.4097157138394255,0.2984837799717914,0.96,0.6740081224617304,0.36874118476727796,0.96,0.33989378319275215,0.1721614950634697,0.79,0.879568884723524,0.4040021156558534,0.95,0.34411121524523547,0.042930183356840665,0.7,0.929397063417682,0.32713328631875893,0.84,0.3617619493908158,0.5844499294781383,0.97,0.5385816932208688,0.5994358251057829,0.98,0.10293658231802523,0.7414492242595205,0.93,0.5040612308653544,0.7712447108603668,1.0,0.2627303967510152,0.9389104372355432,0.96,0.7285223367697593,0.9128173483779973,0.97
61.01,113.29,0.0,0.0,0.0,0.4533683002786433,0.3230647012092858,0.96,0.7123422389772175,0.3828228440285992,0.97,0.3789542697918375,0.18165769264718848,0.64,0.9037862645467963,0.4215729543649041,0.89,0.379445992460253,0.0414864507017388,0.72,0.9378790362235704,0.36508076617530216,0.59,0.37436485821996446,0.5913143260658488,0.97,0.5631863628913295,0.6089681348750994,0.99,0.10473692837239867,0.7504634124812429,0.94,0.5177839698410102,0.7789743137081825,1.0,0.29224717259465727,0.9412128166651954,0.96,0.7647926569414855,0.9180863271250771,0.97
