image/width,image/height,image/object/part/NOSE_TIP/center/x,image/object/part/NOSE_TIP/center/y,image/object/part/NOSE_TIP/score,image/object/part/LEFT_SHOULDER/center/x,image/object/part/LEFT_SHOULDER/center/y,image/object/part/LEFT_SHOULDER/score,image/object/part/RIGHT_SHOULDER/center/x,image/object/part/RIGHT_SHOULDER/center/y,image/object/part/RIGHT_SHOULDER/score,image/object/part/LEFT_ELBOW/center/x,image/object/part/LEFT_ELBOW/center/y,image/object/part/LEFT_ELBOW/score,image/object/part/RIGHT_ELBOW/center/x,image/object/part/RIGHT_ELBOW/center/y,image/object/part/RIGHT_ELBOW/score,image/object/part/LEFT_WRIST/center/x,image/object/part/LEFT_WRIST/center/y,image/object/part/LEFT_WRIST/score,image/object/part/RIGHT_WRIST/center/x,image/object/part/RIGHT_WRIST/center/y,image/object/part/RIGHT_WRIST/score,image/object/part/LEFT_HIP/center/x,image/object/part/LEFT_HIP/center/y,image/object/part/LEFT_HIP/score,image/object/part/RIGHT_HIP/center/x,image/object/part/RIGHT_HIP/center/y,image/object/part/RIGHT_HIP/score,image/object/part/LEFT_KNEE/center/x,image/object/part/LEFT_KNEE/center/y,image/object/part/LEFT_KNEE/score,image/object/part/RIGHT_KNEE/center/x,image/object/part/RIGHT_KNEE/center/y,image/object/part/RIGHT_KNEE/score,image/object/part/LEFT_ANKLE/center/x,image/object/part/LEFT_ANKLE/center/y,image/object/part/LEFT_ANKLE/score,image/object/part/RIGHT_ANKLE/center/x,image/object/part/RIGHT_ANKLE/center/y,image/object/part/RIGHT_ANKLE/score
81.48,187.98,0.22938144329896903,0.029045643153527166,0.41,0.2716003927344133,0.16980529843600423,1.0,0.6940353460972019,0.12176827322055592,0.99,0.27466863033873334,0.3672199170124486,0.98,0.0,0.0,0.0,0.0859106529209622,0.4477604000425581,0.95,0.0,0.0,0.0,0.5262641138929798,0.4736142142781152,0.99,0.8368924889543445,0.45169698904138783,0.97,0.25159548355424644,0.6669858495584636,0.98,0.6894943544428082,0.6936376210235137,0.86,0.22263132056946472,0.9402596020853283,0.97,0.7033627884143347,0.9495691030960741,0.88
75.08,187.05,0.1659563132658495,0.03164929163325292,0.51,0.20245071923281818,0.1751937984496123,0.99,0.6695524773574851,0.11446137396418052,0.98,0.23388385721896648,0.37594226142742604,0.97,0.0,0.0,0.0,0.08444326052211018,0.4839882384389199,0.88,0.0,0.0,0.0,0.4914757591901968,0.46431435445068175,0.97,0.8348428343100693,0.4404170008019246,0.96,0.18500266382525288,0.6649024325046778,0.96,0.681806073521577,0.6971932638331995,0.87,0.14877464038359106,0.9391606522320233,0.96,0.6667554608417688,0.947126436781609,0.9
84.48,188.38,0.16785037878787887,0.034080050960824254,0.61,0.2025331439393941,0.18229111370633844,1.0,0.6205018939393935,0.12326149272746591,0.99,0.23887310606060613,0.37971122199808943,0.99,0.9066051136363633,0.14534451640301516,0.69,0.13186553030303014,0.49771737976430613,0.97,0.0,0.0,0.0,0.44164299242424243,0.4730863148954242,0.99,0.73828125,0.44935768128251397,0.96,0.15459280303030304,0.6677991294192593,0.98,0.606178977272727,0.6930672045864745,0.89,0.12215909090909083,0.9394309374668226,0.96,0.5859375,0.9454825353009875,0.91
88.95,189.44,0.20224845418774537,0.02993032094594573,0.51,0.21056773468240542,0.17794552364864885,1.0,0.6188870151770652,0.10715793918918895,0.98,0.24440697020798147,0.3742081925675675,0.99,0.8931984260820685,0.10995565878378401,0.97,0.17830241708825134,0.5048564189189189,0.86,0.0,0.0,0.0,0.4079820123664976,0.46537162162162143,0.99,0.6875772906127033,0.4443623310810808,0.97,0.1469364811691961,0.6677576013513513,0.98,0.572681281618887,0.6931482263513511,0.96,0.10668915120854358,0.9349662162162162,0.97,0.5458122540753226,0.9429898648648648,0.96
91.35,191.42,0.0,0.0,0.0,0.2223316912972086,0.1790304043464632,1.0,0.6167487684729062,0.11001985163514756,0.98,0.23820470717022432,0.3679343851217216,0.88,0.9021346469622329,0.09048166335806049,0.97,0.0,0.0,0.0,0.674767378215654,0.06211472155469641,0.58,0.3847837985769018,0.46766273116706714,0.98,0.6698412698412699,0.4476021314387209,0.97,0.16803503010399526,0.6708285445616967,0.96,0.5814997263273126,0.6971058405600248,0.96,0.11253420908593294,0.9280117020165082,0.95,0.5432950191570881,0.9412287117333611,0.96
92.55,193.35,0.0,0.0,0.0,0.2090761750405189,0.18536333074734954,0.98,0.6224743381955701,0.11667959658650147,0.99,0.24894651539708287,0.36555469356090026,0.8,0.8982171799027553,0.08647530385311625,1.0,0.0,0.0,0.0,0.7308481901674775,0.041996379622446366,0.89,0.38065910318746643,0.4677527799327647,0.97,0.6779038357644518,0.4476855443496254,0.97,0.17871420853592676,0.6783035945177145,0.97,0.5826039978390062,0.7066459787949315,0.95,0.11431658562938997,0.9322472200672356,0.96,0.5406807131280391,0.9436772692009312,0.96
98.69,211.88,0.0,0.0,0.0,0.23862600060796446,0.2272984708325466,0.98,0.6367413111764113,0.16698131017557105,0.99,0.2745972236295473,0.401595242590145,0.92,0.8982673016516368,0.1098735133094203,1.0,0.0,0.0,0.0,0.7775863815989463,0.04271285633377362,0.99,0.36923700476238785,0.4921181801019444,0.98,0.6313709595703719,0.47390032093637896,0.97,0.19201540176309703,0.7030394562960163,0.98,0.5418988752659846,0.7185671134604493,0.94,0.11247340156044203,0.9375589956579194,0.97,0.5183909210659644,0.944166509344912,0.96
100.33,228.27,0.0,0.0,0.0,0.2510714641682448,0.2647741709379241,0.98,0.6504535034386529,0.20734218250317574,0.97,0.28984351639589395,0.4156481359793227,0.83,0.89345160968803,0.13124808340999658,0.95,0.0,0.0,0.0,0.778132163859265,0.04004030314977871,0.96,0.3542310375759994,0.5213562886055986,0.95,0.6307186285258649,0.5003285582862396,0.96,0.20452506727798306,0.7206378411530205,0.96,0.5482906408850797,0.7417093792438776,0.94,0.11561845908501966,0.944188899110702,0.97,0.5225755008472043,0.9477811363735927,0.96
99.82,237.12,0.0,0.0,0.0,0.2550591063915051,0.2693151147098516,0.98,0.6683029453015432,0.22756410256410223,0.97,0.2767982368262873,0.417552294197031,0.9,0.8870967741935486,0.146002024291498,0.95,0.23301943498296926,0.5169112685560051,0.83,0.7696854337808059,0.04251012145748957,0.96,0.3451212181927469,0.5254723346828606,0.94,0.6118012422360248,0.5099527665317137,0.97,0.20426768182728958,0.7244854925775976,0.94,0.5353636545782409,0.7479757085020243,0.95,0.11240232418353063,0.9412112010796219,0.96,0.5109196553796834,0.9512904858299592,0.96
98.5,248.78,0.0,0.0,0.0,0.30619289340101546,0.26726424953774425,0.99,0.704467005076142,0.24877401720395526,0.98,0.21756345177664982,0.4041321649650292,0.63,0.890964467005076,0.14764048556957962,0.96,0.12934010152284273,0.43251065198167066,0.52,0.7650761421319798,0.038347134013988114,0.96,0.36548223350253806,0.5174853284026047,0.98,0.620507614213198,0.5190931746924994,0.98,0.23553299492385776,0.7272288769193663,0.98,0.5410152284263962,0.7480102902162554,0.98,0.12081218274111652,0.9292547632446336,0.97,0.5211167512690353,0.9536136345365384,0.97
